date,Favorable Employment,Unfavorable Unemployment,Net Positive Employment News Heard
2000-01-01,NA,NA,NA
2000-02-01,11.333333333333334,11.333333333333334,0
2000-03-01,10.666666666666666,11.333333333333334,-0.6666666666666666
2000-04-01,9.666666666666666,12,-2.3333333333333335
2000-05-01,8.666666666666666,12,-3.3333333333333335
2000-06-01,8.666666666666666,13,-4.333333333333333
2000-07-01,8.666666666666666,13,-4.333333333333333
2000-08-01,8.333333333333334,12.666666666666666,-4.333333333333333
2000-09-01,7.333333333333333,12.666666666666666,-5.333333333333333
2000-10-01,6.666666666666667,13.666666666666666,-7
2000-11-01,6.666666666666667,14.666666666666666,-8
2000-12-01,5.333333333333333,20.666666666666668,-15.333333333333334
2001-01-01,4.333333333333333,31.666666666666668,-27.333333333333332
2001-02-01,5,39.333333333333336,-34.333333333333336
2001-03-01,4.666666666666667,43.333333333333336,-38.666666666666664
2001-04-01,4.666666666666667,41.666666666666664,-37
2001-05-01,4,41.666666666666664,-37.666666666666664
2001-06-01,4.666666666666667,39.666666666666664,-35
2001-07-01,5.333333333333333,38.666666666666664,-33.333333333333336
2001-08-01,4.333333333333333,42,-37.666666666666664
2001-09-01,4.333333333333333,45.666666666666664,-41.333333333333336
2001-10-01,3.3333333333333335,49,-45.666666666666664
2001-11-01,3.6666666666666665,50,-46.333333333333336
2001-12-01,4,52.333333333333336,-48.333333333333336
2002-01-01,5.666666666666667,55.333333333333336,-49.666666666666664
2002-02-01,7.666666666666667,55,-47.333333333333336
2002-03-01,9.666666666666666,50.333333333333336,-40.666666666666664
2002-04-01,9.666666666666666,42,-32.333333333333336
2002-05-01,10,37.666666666666664,-27.666666666666668
2002-06-01,7.666666666666667,35.666666666666664,-28
2002-07-01,6.333333333333333,34.666666666666664,-28.333333333333332
2002-08-01,5,35,-30
2002-09-01,5,35,-30
2002-10-01,5.666666666666667,37.333333333333336,-31.666666666666668
2002-11-01,5.666666666666667,37.333333333333336,-31.666666666666668
2002-12-01,6.666666666666667,40.333333333333336,-33.666666666666664
2003-01-01,7.666666666666667,40,-32.333333333333336
2003-02-01,7.666666666666667,40.666666666666664,-33
2003-03-01,7,39.666666666666664,-32.666666666666664
2003-04-01,6.333333333333333,40.333333333333336,-34
2003-05-01,6.666666666666667,38.333333333333336,-31.666666666666668
2003-06-01,7.333333333333333,35.666666666666664,-28.333333333333332
2003-07-01,8.333333333333334,33.333333333333336,-25
2003-08-01,9.333333333333334,34.666666666666664,-25.333333333333332
2003-09-01,11.333333333333334,34.666666666666664,-23.333333333333332
2003-10-01,15,32.666666666666664,-17.666666666666668
2003-11-01,17.666666666666668,27.666666666666668,-10
2003-12-01,19.666666666666668,24.333333333333332,-4.666666666666667
2004-01-01,17,26,-9
2004-02-01,17,31.666666666666668,-14.666666666666666
2004-03-01,17.333333333333332,33.666666666666664,-16.333333333333332
2004-04-01,21.666666666666668,31.333333333333332,-9.666666666666666
2004-05-01,24.333333333333332,26.333333333333332,-2
2004-06-01,26.333333333333332,24.666666666666668,1.6666666666666667
2004-07-01,23.666666666666668,26,-2.3333333333333335
2004-08-01,19.666666666666668,28.666666666666668,-9
2004-09-01,16,30,-14
2004-10-01,15.666666666666666,27.666666666666668,-12
2004-11-01,16,24,-8
2004-12-01,16.666666666666668,22,-5.333333333333333
2005-01-01,16.666666666666668,21.333333333333332,-4.666666666666667
2005-02-01,16.333333333333332,21,-4.666666666666667
2005-03-01,14,20,-6
2005-04-01,12.666666666666666,21,-8.333333333333334
2005-05-01,11.666666666666666,21,-9.333333333333334
2005-06-01,13,23.333333333333332,-10.333333333333334
2005-07-01,13,24.333333333333332,-11.333333333333334
2005-08-01,11.666666666666666,25.333333333333332,-13.666666666666666
2005-09-01,9.333333333333334,24.333333333333332,-15
2005-10-01,8.333333333333334,23.666666666666668,-15.333333333333334
2005-11-01,10,27.333333333333332,-17.333333333333332
2005-12-01,13.333333333333334,28,-14.666666666666666
2006-01-01,13.333333333333334,30.666666666666668,-17.333333333333332
2006-02-01,12.666666666666666,28.666666666666668,-16
2006-03-01,11.666666666666666,28.666666666666668,-17
2006-04-01,12,26.333333333333332,-14.333333333333334
2006-05-01,11.666666666666666,25,-13.333333333333334
2006-06-01,10.666666666666666,24.333333333333332,-13.666666666666666
2006-07-01,10,21.666666666666668,-11.666666666666666
2006-08-01,10.333333333333334,20.666666666666668,-10.333333333333334
2006-09-01,11.333333333333334,20.666666666666668,-9.333333333333334
2006-10-01,12.333333333333334,22.666666666666668,-10.333333333333334
2006-11-01,12,21,-9
2006-12-01,12.333333333333334,20,-7.666666666666667
2007-01-01,12,20.666666666666668,-8.666666666666666
2007-02-01,11.666666666666666,22.666666666666668,-11
2007-03-01,9.666666666666666,23.666666666666668,-14
2007-04-01,9.666666666666666,22.333333333333332,-12.666666666666666
2007-05-01,11,21,-10
2007-06-01,12.333333333333334,19.333333333333332,-7
2007-07-01,11.666666666666666,19.333333333333332,-7.666666666666667
2007-08-01,10.333333333333334,21,-10.666666666666666
2007-09-01,8.666666666666666,22.333333333333332,-13.666666666666666
2007-10-01,8,23,-15
2007-11-01,6.666666666666667,23,-16.333333333333332
2007-12-01,5.666666666666667,23.666666666666668,-18
2008-01-01,5.333333333333333,27,-21.666666666666668
2008-02-01,4.666666666666667,30.333333333333332,-25.666666666666668
2008-03-01,4.333333333333333,34.666666666666664,-30.333333333333332
2008-04-01,4.333333333333333,36,-31.666666666666668
2008-05-01,4.333333333333333,38,-33.666666666666664
2008-06-01,4.666666666666667,38.333333333333336,-33.666666666666664
2008-07-01,4.333333333333333,37.666666666666664,-33.333333333333336
2008-08-01,5,34.666666666666664,-29.666666666666668
2008-09-01,4.333333333333333,33.666666666666664,-29.333333333333332
2008-10-01,3.3333333333333335,38.666666666666664,-35.333333333333336
2008-11-01,2,48.333333333333336,-46.333333333333336
2008-12-01,2.3333333333333335,57,-54.666666666666664
2009-01-01,3,65,-62
2009-02-01,4,65,-61
2009-03-01,5,64.66666666666667,-59.666666666666664
2009-04-01,7.333333333333333,61.333333333333336,-54
2009-05-01,9.333333333333334,63,-53.666666666666664
2009-06-01,11,62.333333333333336,-51.333333333333336
2009-07-01,13,57,-44
2009-08-01,18,49,-31
2009-09-01,20,45,-25
2009-10-01,20,44.666666666666664,-24.666666666666668
2009-11-01,19,46,-27
2009-12-01,19,42.666666666666664,-23.666666666666668
2010-01-01,18.333333333333332,39.333333333333336,-21
2010-02-01,19,37.333333333333336,-18.333333333333332
2010-03-01,21.666666666666668,38,-16.333333333333332
2010-04-01,24.666666666666668,37.333333333333336,-12.666666666666666
2010-05-01,24.666666666666668,34,-9.333333333333334
2010-06-01,21.333333333333332,33.333333333333336,-12
2010-07-01,19.666666666666668,33.333333333333336,-13.666666666666666
